category,query,n_results,n_articles_processed,n_new_articles,genes_found
Mechanosensitive ion channels,mechanosensitive channel AND (brain OR neuron OR nervous system),200,200,200,"ACSL4,ADGRL2,AIS,ALIC,ALIRI,AML14,ANO1,ANOH,AOH,AP5,AQP4,ARNA,ATM,BBR,BCR,BDNF,BODIPY,BV2,BWSTT,CA1"
Mechanosensitive ion channels,mechanosensitive ion channel AND neural,153,153,114,"ADO,ADPKD,ADS,APV,ASIC,ASIC2,ASIC3,BBG,BDNF,BET,BMP2,BWSTT,CDS,CFTR,CGRP,COOH,CREB,CRISPR,CTSD,CWP"
Mechanosensitive ion channels,"""stretch-activated channel"" AND (brain OR neuron)",26,26,26,"AIP,ANP,APD,ASIC3,ASW,BAPTA,BVE,CPZ,DAF,DRG,EGTA,IOP,KCNK2,KEY,LTCC,MAP90,MCLC,METHODS,MID,MID1"
Mechanosensitive ion channels,"""stretch-activated"" AND ""ion channel"" AND neural",9,9,4,"ANP,ASIC2,ASIC3,BMP,BVE,DRG,FGF,LDH,MPP,NCM,PIEZO1,PSI,TBI,TRPV1,TTX"
Mechanosensitive ion channels,mechanogated channel AND (brain OR neuron),70,70,66,"AMI,AMTB,AP3,AP4,AP5,APDC,ARC,ASIC2,ASIC2A,BCAL,BDNF,CAT,CGRP,CGS,CHPG,CRD,CREB,CUMS,DHPG,DMPC"
Mechanosensitive ion channels,mechanosensitive channel AND (glia OR astrocyte OR neuromodulation),200,200,124,"AAV9,ADO,ADPKD,AEA,AKT,AMPD3,AP5,APB,AQP4,AQP5,ARTER,ASIC,ASIC1,ASIC2,ASIC3,AVC,BDBD,BON,BOP,BPS"
Mechanotransduction signaling,mechanotransduction AND (channel OR receptor) AND (brain OR neuron),200,200,121,"ACC,ACR,ADGRL2,AKT,ALS,AMR,ANEPPS,ANKRD24,ANO1,ANOH,ASE,ASIC2,AVA,BCAA,BCR,BDNF,BODIPY,BPS,BRS,CAR"
Mechanotransduction signaling,mechanosensor AND (channel OR ion),200,200,174,"ADAM,ADAM10,ADAM17,ADPKD,AFM,AFU,AITC,AKT,ALP,AMD,ASIC,ASIC1A,ASIC2,ASIC2A,AT1R,AT2,ATM,BALB,BAPTA,BCR"
Mechanotransduction signaling,"""mechanical force"" AND ""ion channel"" AND neuron",39,38,32,"CDH23,DRG,ELKIN1,FAK,FFL,FRAP,IB4,ITGB1,KCNK10,KCNK2,KCNK4,LSS,MEC,NOMPC,PIEZO1,PIEZO2,TBI,TEM,TMC,TMC1"
Mechanotransduction signaling,mechanosensitive AND signaling AND (brain OR neural),200,200,81,"ACSL4,ADGRL2,ADIP,AFM,AJC,AKT,ANO1,ANOH,AOA,APP,AQP4,ARC,ASIC,ASIC1A,ASIC1B,ASIC2A,ASIC3,ATD,BBR,BCR"
